user_id	date	event	device	location	traffic_source
U001	01-01-2024	visit	mobile	Mumbai	organic
U001	01-01-2024	signup	mobile	Mumbai	organic
U002	01-01-2024	visit	desktop	Delhi	paid
U002	01-01-2024	signup	desktop	Delhi	paid
U002	01-01-2024	purchase	desktop	Delhi	paid
U003	02-01-2024	visit	mobile	Bangalore	social
U004	02-01-2024	visit	desktop	Mumbai	organic
U004	02-01-2024	signup	desktop	Mumbai	organic
U005	03-01-2024	visit	mobile	Delhi	referral
U005	03-01-2024	signup	mobile	Delhi	referral
U005	03-01-2024	add_to_cart	mobile	Delhi	referral
U005	03-01-2024	purchase	mobile	Delhi	referral
U006	03-01-2024	visit	desktop	Chennai	paid
U007	04-01-2024	visit	mobile	Mumbai	organic
U007	04-01-2024	signup	mobile	Mumbai	organic
U008	04-01-2024	visit	desktop	Bangalore	social
U008	04-01-2024	signup	desktop	Bangalore	social
U008	04-01-2024	add_to_cart	desktop	Bangalore	social
U009	05-01-2024	visit	mobile	Delhi	organic
U010	05-01-2024	visit	desktop	Mumbai	paid
U010	05-01-2024	signup	desktop	Mumbai	paid
U010	05-01-2024	purchase	desktop	Mumbai	paid
U011	06-01-2024	visit	mobile	Chennai	organic
U011	06-01-2024	signup	mobile	Chennai	organic
U012	07-01-2024	visit	desktop	Delhi	social
U012	07-01-2024	signup	desktop	Delhi	social
U012	07-01-2024	add_to_cart	desktop	Delhi	social
U012	07-01-2024	purchase	desktop	Delhi	social
U013	08-01-2024	visit	mobile	Mumbai	referral
U014	08-01-2024	visit	desktop	Bangalore	paid
U014	08-01-2024	signup	desktop	Bangalore	paid
U015	09-01-2024	visit	mobile	Delhi	organic
U015	09-01-2024	signup	mobile	Delhi	organic
U015	09-01-2024	add_to_cart	mobile	Delhi	organic
U016	10-01-2024	visit	desktop	Mumbai	social
U016	10-01-2024	signup	desktop	Mumbai	social
U016	10-01-2024	purchase	desktop	Mumbai	social
U017	11-01-2024	visit	mobile	Chennai	paid
U018	11-01-2024	visit	desktop	Delhi	organic
U018	11-01-2024	signup	desktop	Delhi	organic
U019	12-01-2024	visit	mobile	Mumbai	referral
U019	12-01-2024	signup	mobile	Mumbai	referral
U019	12-01-2024	add_to_cart	mobile	Mumbai	referral
U019	12-01-2024	purchase	mobile	Mumbai	referral
U020	13-01-2024	visit	desktop	Bangalore	organic
